0,0,0,0,櫂の木材
0,0,0,1,白樺の木材
0,1,0,0,癒し草
0,1,0,1,痛み草
0,2,0,0,百合
0,2,0,1,薔薇
0,3,0,0,大根
0,3,0,1,じゃが芋
0,4,0,0,林檎
0,4,0,1,桃
0,5,0,0,小麦
0,5,0,1,大麦
0,6,0,0,椎茸
0,6,0,1,松茸
1,0,0,0,鱈
1,0,0,1,秋刀魚
1,1,0,0,蚊
1,1,0,1,蛙
1,2,0,0,鹿
1,2,0,1,兎
1,3,0,0,ゴブリン
1,3,0,1,コボルト
1,4,0,0,一反木綿
1,4,0,1,小豆洗い
1,5,0,0,アヴァリバ帝国試作機001偵察機
1,5,0,1,MH_E389_狂神
1,6,0,0,ヴァチュガ人
1,6,0,1,鷲壱人
1,7,0,0,タロス
1,7,0,1,アジ・ダハーカ
1,8,0,0,今日は楽しいクリスマス
1,8,0,1,彫刻-オリジナル
2,0,0,0,鉄鉱石
2,0,0,1,砂
2,1,0,0,鉄の延べ棒
2,1,0,1,銅の延べ棒
2,2,0,0,ルビー
2,2,0,1,ダイヤモンド
2,3,0,0,鋼
2,3,0,1,チタン合金
3,0,0,0,鉄の剣
3,0,1,0,白樺の杖
3,1,0,0,鉢巻き
3,1,1,0,皮の鎧
3,2,0,0,癒しの指輪
3,2,1,0,耐麻痺のピアス
3,3,0,0,鉄のツルハシ
3,3,1,0,鉄の斧
4,0,0,0,サラダ
4,0,1,0,焼き魚
4,1,0,0,回復薬
4,1,1,0,強化薬(腕)
4,2,0,0,木の扉
4,2,1,0,木の椅子
